Vin,Vout,Vref
0,0.00393622,0.7
0.001,0.00393622,0.7
0.002,0.00393622,0.7
0.003,0.00393622,0.7
0.004,0.003936221,0.7
0.005,0.003936221,0.7
0.006,0.00393622,0.7
0.007,0.00393622,0.7
0.008,0.003936221,0.7
0.009,0.00393622,0.7
0.01,0.00393622,0.7
0.011,0.003936221,0.7
0.012,0.00393622,0.7
0.013,0.003936221,0.7
0.014,0.00393622,0.7
0.015,0.00393622,0.7
0.016,0.003936221,0.7
0.017,0.003936221,0.7
0.018,0.003936221,0.7
0.019,0.00393622,0.7
0.02,0.003936221,0.7
0.021,0.003936221,0.7
0.022,0.00393622,0.7
0.023,0.003936221,0.7
0.024,0.00393622,0.7
0.025,0.003936221,0.7
0.026,0.00393622,0.7
0.027,0.00393622,0.7
0.028,0.003936221,0.7
0.029,0.003936221,0.7
0.03,0.003936221,0.7
0.031,0.003936221,0.7
0.032,0.00393622,0.7
0.033,0.00393622,0.7
0.034,0.003936221,0.7
0.035,0.00393622,0.7
0.036,0.003936221,0.7
0.037,0.003936221,0.7
0.038,0.003936221,0.7
0.039,0.003936221,0.7
0.04,0.003936221,0.7
0.041,0.003936221,0.7
0.042,0.003936221,0.7
0.043,0.003936221,0.7
0.044,0.003936221,0.7
0.045,0.003936221,0.7
0.046,0.003936221,0.7
0.047,0.003936221,0.7
0.048,0.003936222,0.7
0.049,0.00393622,0.7
0.05,0.00393622,0.7
0.051,0.003936222,0.7
0.052,0.00393622,0.7
0.053,0.003936221,0.7
0.054,0.003936221,0.7
0.055,0.003936221,0.7
0.056,0.003936221,0.7
0.057,0.00393622,0.7
0.058,0.003936221,0.7
0.059,0.003936221,0.7
0.06,0.003936221,0.7
0.061,0.003936221,0.7
0.062,0.003936221,0.7
0.063,0.003936221,0.7
0.064,0.00393622,0.7
0.065,0.003936221,0.7
0.066,0.003936221,0.7
0.067,0.003936221,0.7
0.068,0.003936221,0.7
0.069,0.003936221,0.7
0.07,0.003936222,0.7
0.071,0.003936222,0.7
0.072,0.003936222,0.7
0.073,0.003936222,0.7
0.074,0.003936222,0.7
0.075,0.003936222,0.7
0.076,0.003936222,0.7
0.077,0.003936223,0.7
0.078,0.003936223,0.7
0.079,0.003936222,0.7
0.08,0.003936223,0.7
0.081,0.003936222,0.7
0.082,0.003936223,0.7
0.083,0.003936223,0.7
0.084,0.003936222,0.7
0.085,0.003936223,0.7
0.086,0.003936222,0.7
0.087,0.003936222,0.7
0.088,0.003936222,0.7
0.089,0.003936222,0.7
0.09,0.003936223,0.7
0.091,0.003936223,0.7
0.092,0.003936223,0.7
0.093,0.003936223,0.7
0.094,0.003936223,0.7
0.095,0.003936223,0.7
0.096,0.003936223,0.7
0.097,0.003936223,0.7
0.098,0.003936224,0.7
0.099,0.003936223,0.7
0.1,0.003936224,0.7
0.101,0.003936224,0.7
0.102,0.003936224,0.7
0.103,0.003936225,0.7
0.104,0.003936224,0.7
0.105,0.003936224,0.7
0.106,0.003936225,0.7
0.107,0.003936224,0.7
0.108,0.003936225,0.7
0.109,0.003936224,0.7
0.11,0.003936225,0.7
0.111,0.003936224,0.7
0.112,0.003936225,0.7
0.113,0.003936225,0.7
0.114,0.003936225,0.7
0.115,0.003936225,0.7
0.116,0.003936225,0.7
0.117,0.003936225,0.7
0.118,0.003936225,0.7
0.119,0.003936225,0.7
0.12,0.003936226,0.7
0.121,0.003936226,0.7
0.122,0.003936226,0.7
0.123,0.003936226,0.7
0.124,0.003936226,0.7
0.125,0.003936226,0.7
0.126,0.003936226,0.7
0.127,0.003936226,0.7
0.128,0.003936227,0.7
0.129,0.003936226,0.7
0.13,0.003936228,0.7
0.131,0.003936228,0.7
