 v-sweep         v-sweep         vin             vout            vref           
 0.00000000e+00  0.00000000e+00  0.00000000e+00  3.93622033e-03  7.00000000e-01 
 1.00000000e-03  1.00000000e-03  1.00000000e-03  3.93622039e-03  7.00000000e-01 
 2.00000000e-03  2.00000000e-03  2.00000000e-03  3.93621985e-03  7.00000000e-01 
 3.00000000e-03  3.00000000e-03  3.00000000e-03  3.93622035e-03  7.00000000e-01 
 4.00000000e-03  4.00000000e-03  4.00000000e-03  3.93622082e-03  7.00000000e-01 
 5.00000000e-03  5.00000000e-03  5.00000000e-03  3.93622134e-03  7.00000000e-01 
 6.00000000e-03  6.00000000e-03  6.00000000e-03  3.93622035e-03  7.00000000e-01 
 7.00000000e-03  7.00000000e-03  7.00000000e-03  3.93622024e-03  7.00000000e-01 
 8.00000000e-03  8.00000000e-03  8.00000000e-03  3.93622055e-03  7.00000000e-01 
 9.00000000e-03  9.00000000e-03  9.00000000e-03  3.93622049e-03  7.00000000e-01 
 1.00000000e-02  1.00000000e-02  1.00000000e-02  3.93622043e-03  7.00000000e-01 
 1.10000000e-02  1.10000000e-02  1.10000000e-02  3.93622118e-03  7.00000000e-01 
 1.20000000e-02  1.20000000e-02  1.20000000e-02  3.93622007e-03  7.00000000e-01 
 1.30000000e-02  1.30000000e-02  1.30000000e-02  3.93622054e-03  7.00000000e-01 
 1.40000000e-02  1.40000000e-02  1.40000000e-02  3.93622036e-03  7.00000000e-01 
 1.50000000e-02  1.50000000e-02  1.50000000e-02  3.93622048e-03  7.00000000e-01 
 1.60000000e-02  1.60000000e-02  1.60000000e-02  3.93622101e-03  7.00000000e-01 
 1.70000000e-02  1.70000000e-02  1.70000000e-02  3.93622082e-03  7.00000000e-01 
 1.80000000e-02  1.80000000e-02  1.80000000e-02  3.93622050e-03  7.00000000e-01 
 1.90000000e-02  1.90000000e-02  1.90000000e-02  3.93622009e-03  7.00000000e-01 
 2.00000000e-02  2.00000000e-02  2.00000000e-02  3.93622062e-03  7.00000000e-01 
 2.10000000e-02  2.10000000e-02  2.10000000e-02  3.93622091e-03  7.00000000e-01 
 2.20000000e-02  2.20000000e-02  2.20000000e-02  3.93622047e-03  7.00000000e-01 
 2.30000000e-02  2.30000000e-02  2.30000000e-02  3.93622131e-03  7.00000000e-01 
 2.40000000e-02  2.40000000e-02  2.40000000e-02  3.93622029e-03  7.00000000e-01 
 2.50000000e-02  2.50000000e-02  2.50000000e-02  3.93622069e-03  7.00000000e-01 
 2.60000000e-02  2.60000000e-02  2.60000000e-02  3.93622043e-03  7.00000000e-01 
 2.70000000e-02  2.70000000e-02  2.70000000e-02  3.93622026e-03  7.00000000e-01 
 2.80000000e-02  2.80000000e-02  2.80000000e-02  3.93622066e-03  7.00000000e-01 
 2.90000000e-02  2.90000000e-02  2.90000000e-02  3.93622083e-03  7.00000000e-01 
 3.00000000e-02  3.00000000e-02  3.00000000e-02  3.93622053e-03  7.00000000e-01 
 3.10000000e-02  3.10000000e-02  3.10000000e-02  3.93622050e-03  7.00000000e-01 
 3.20000000e-02  3.20000000e-02  3.20000000e-02  3.93622034e-03  7.00000000e-01 
 3.30000000e-02  3.30000000e-02  3.30000000e-02  3.93622027e-03  7.00000000e-01 
 3.40000000e-02  3.40000000e-02  3.40000000e-02  3.93622132e-03  7.00000000e-01 
 3.50000000e-02  3.50000000e-02  3.50000000e-02  3.93622031e-03  7.00000000e-01 
 3.60000000e-02  3.60000000e-02  3.60000000e-02  3.93622055e-03  7.00000000e-01 
 3.70000000e-02  3.70000000e-02  3.70000000e-02  3.93622104e-03  7.00000000e-01 
 3.80000000e-02  3.80000000e-02  3.80000000e-02  3.93622104e-03  7.00000000e-01 
 3.90000000e-02  3.90000000e-02  3.90000000e-02  3.93622090e-03  7.00000000e-01 
 4.00000000e-02  4.00000000e-02  4.00000000e-02  3.93622146e-03  7.00000000e-01 
