v-sweep,v-sweep_1,Vin,Iout,Vout,Vref
0,0,0,-9.11379E-07,0.9,0.9
0.001,0.001,0.001,-9.11379E-07,0.9,0.9
0.002,0.002,0.002,-9.11379E-07,0.9,0.9
0.003,0.003,0.003,-9.11379E-07,0.9,0.9
0.004,0.004,0.004,-9.11379E-07,0.9,0.9
0.005,0.005,0.005,-9.11379E-07,0.9,0.9
0.006,0.006,0.006,-9.11379E-07,0.9,0.9
0.007,0.007,0.007,-9.11379E-07,0.9,0.9
0.008,0.008,0.008,-9.11379E-07,0.9,0.9
0.009,0.009,0.009,-9.11379E-07,0.9,0.9
0.01,0.01,0.01,-9.11379E-07,0.9,0.9
0.011,0.011,0.011,-9.11379E-07,0.9,0.9
0.012,0.012,0.012,-9.11379E-07,0.9,0.9
0.013,0.013,0.013,-9.11379E-07,0.9,0.9
0.014,0.014,0.014,-9.11379E-07,0.9,0.9
0.015,0.015,0.015,-9.11379E-07,0.9,0.9
0.016,0.016,0.016,-9.11379E-07,0.9,0.9
0.017,0.017,0.017,-9.11379E-07,0.9,0.9
0.018,0.018,0.018,-9.11379E-07,0.9,0.9
0.019,0.019,0.019,-9.11379E-07,0.9,0.9
0.02,0.02,0.02,-9.11379E-07,0.9,0.9
0.021,0.021,0.021,-9.11379E-07,0.9,0.9
0.022,0.022,0.022,-9.11379E-07,0.9,0.9
0.023,0.023,0.023,-9.11379E-07,0.9,0.9
0.024,0.024,0.024,-9.11379E-07,0.9,0.9
0.025,0.025,0.025,-9.11379E-07,0.9,0.9
0.026,0.026,0.026,-9.11379E-07,0.9,0.9
0.027,0.027,0.027,-9.11379E-07,0.9,0.9
0.028,0.028,0.028,-9.11379E-07,0.9,0.9
0.029,0.029,0.029,-9.11379E-07,0.9,0.9
0.03,0.03,0.03,-9.11379E-07,0.9,0.9
0.031,0.031,0.031,-9.11379E-07,0.9,0.9
0.032,0.032,0.032,-9.11379E-07,0.9,0.9
0.033,0.033,0.033,-9.11379E-07,0.9,0.9
0.034,0.034,0.034,-9.11379E-07,0.9,0.9
0.035,0.035,0.035,-9.11379E-07,0.9,0.9
0.036,0.036,0.036,-9.11379E-07,0.9,0.9
0.037,0.037,0.037,-9.11379E-07,0.9,0.9
0.038,0.038,0.038,-9.11379E-07,0.9,0.9
0.039,0.039,0.039,-9.11379E-07,0.9,0.9
0.04,0.04,0.04,-9.11379E-07,0.9,0.9
0.041,0.041,0.041,-9.11379E-07,0.9,0.9
0.042,0.042,0.042,-9.11379E-07,0.9,0.9
0.043,0.043,0.043,-9.11379E-07,0.9,0.9
0.044,0.044,0.044,-9.11379E-07,0.9,0.9
0.045,0.045,0.045,-9.11379E-07,0.9,0.9
0.046,0.046,0.046,-9.11379E-07,0.9,0.9
0.047,0.047,0.047,-9.11379E-07,0.9,0.9
0.048,0.048,0.048,-9.11379E-07,0.9,0.9
0.049,0.049,0.049,-9.11379E-07,0.9,0.9
0.05,0.05,0.05,-9.11379E-07,0.9,0.9
0.051,0.051,0.051,-9.11379E-07,0.9,0.9
0.052,0.052,0.052,-9.11379E-07,0.9,0.9
0.053,0.053,0.053,-9.11379E-07,0.9,0.9
0.054,0.054,0.054,-9.11379E-07,0.9,0.9
0.055,0.055,0.055,-9.11379E-07,0.9,0.9
0.056,0.056,0.056,-9.11379E-07,0.9,0.9
0.057,0.057,0.057,-9.11379E-07,0.9,0.9
0.058,0.058,0.058,-9.11379E-07,0.9,0.9
0.059,0.059,0.059,-9.11379E-07,0.9,0.9
0.06,0.06,0.06,-9.11379E-07,0.9,0.9
0.061,0.061,0.061,-9.11379E-07,0.9,0.9
