frequency,frequency_1,frequency_2,t,t_3,tmag,tphase
1,1,0,2450.6486,-6.83423046,67.7856546,-0.159782821
1.12201845,1.12201845,0,2450.64366,-7.66811724,67.7856459,-0.179279153
1.25892541,1.25892541,0,2450.63745,-8.60374723,67.7856348,-0.201154348
1.41253754,1.41253754,0,2450.62963,-9.65353234,67.785621,-0.225698651
1.58489319,1.58489319,0,2450.61978,-10.8313979,67.7856035,-0.253237712
1.77827941,1.77827941,0,2450.60738,-12.1529668,67.7855815,-0.284136906
1.99526231,1.99526231,0,2450.59177,-13.6357661,67.7855539,-0.318806175
2.23872114,2.23872114,0,2450.57212,-15.2994585,67.785519,-0.357705455
2.51188643,2.51188643,0,2450.54738,-17.1661014,67.7854752,-0.40135077
2.81838293,2.81838293,0,2450.51623,-19.2604377,67.78542,-0.450321061
3.16227766,3.16227766,0,2450.47702,-21.6102207,67.7853504,-0.505265845
3.54813389,3.54813389,0,2450.42767,-24.2465779,67.7852629,-0.566913793
3.98107171,3.98107171,0,2450.36553,-27.2044178,67.7851528,-0.636082358
4.46683592,4.46683592,0,2450.28732,-30.5228841,67.7850141,-0.713688544
5.01187234,5.01187234,0,2450.18885,-34.2458625,67.7848395,-0.800760983
5.62341325,5.62341325,0,2450.06491,-38.4225453,67.7846197,-0.898453439
6.30957344,6.30957344,0,2449.90888,-43.1080586,67.7843431,-1.00805992
7.07945784,7.07945784,0,2449.71249,-48.3641587,67.7839948,-1.13103159
7.94328235,7.94328235,0,2449.4653,-54.2600008,67.7835564,-1.2689956
8.91250938,8.91250938,0,2449.15416,-60.8729865,67.7830045,-1.42377615
10,10,0,2448.76259,-68.2896902,67.7823099,-1.5974179
11.2201845,11.2201845,0,2448.2698,-76.6068678,67.7814355,-1.79221203
12.5892541,12.5892541,0,2447.64969,-85.9325411,67.780335,-2.01072504
14.1253754,14.1253754,0,2446.86947,-96.3871519,67.7789499,-2.25583065
15.8489319,15.8489319,0,2445.88794,-108.104766,67.7772068,-2.53074482
17.7827941,17.7827941,0,2444.65339,-121.234297,67.7750134,-2.83906408
