Frequency (Hz),Magnitude (dB),Phase (deg)
1,-0.013393759,-0.000108018
1.12201845,-0.013393759,-0.000121199
1.25892541,-0.013393759,-0.000135987
1.41253754,-0.013393759,-0.00015258
1.58489319,-0.013393759,-0.000171198
1.77827941,-0.013393759,-0.000192087
1.99526231,-0.013393759,-0.000215525
2.23872114,-0.013393759,-0.000241823
2.51188643,-0.013393759,-0.00027133
2.81838293,-0.013393759,-0.000304437
3.16227766,-0.013393759,-0.000341584
3.54813389,-0.013393759,-0.000383264
3.98107171,-0.013393759,-0.000430029
4.46683592,-0.013393759,-0.000482501
5.01187234,-0.013393759,-0.000541375
5.62341325,-0.013393759,-0.000607432
6.30957344,-0.01339376,-0.00068155
7.07945784,-0.01339376,-0.000764712
7.94328235,-0.01339376,-0.000858021
8.91250938,-0.01339376,-0.000962715
10,-0.013393761,-0.001080184
11.2201845,-0.013393761,-0.001211987
12.5892541,-0.013393761,-0.001359872
14.1253754,-0.013393762,-0.001525801
15.8489319,-0.013393763,-0.001711977
17.7827941,-0.013393764,-0.00192087
19.9526231,-0.013393765,-0.002155251
22.3872114,-0.013393767,-0.002418232
25.1188643,-0.013393769,-0.002713301
28.1838293,-0.013393771,-0.003044373
31.6227766,-0.013393775,-0.003415843
35.4813389,-0.013393779,-0.003832639
39.8107171,-0.013393784,-0.004300292
44.6683592,-0.01339379,-0.004825007
50.1187234,-0.013393799,-0.005413747
56.2341325,-0.013393809,-0.006074324
63.0957344,-0.013393822,-0.006815503
70.7945784,-0.013393838,-0.00764712
79.4328235,-0.013393858,-0.00858021
89.1250938,-0.013393884,-0.009627154
100,-0.013393917,-0.010801844
112.201845,-0.013393957,-0.012119869
125.892541,-0.013394009,-0.013598716
141.253754,-0.013394074,-0.01525801
158.489319,-0.013394155,-0.017119769
177.827941,-0.013394256,-0.019208697
199.526231,-0.013394385,-0.021552512
223.872114,-0.013394548,-0.024182315
251.188643,-0.013394752,-0.027133003
281.838293,-0.01339501,-0.030443729
316.227766,-0.013395334,-0.034158425
354.813389,-0.013395743,-0.038326381
398.107171,-0.013396257,-0.043002904
446.683592,-0.013396904,-0.048250048
501.187234,-0.013397718,-0.054137439
562.341325,-0.013398744,-0.060743198
630.957344,-0.013400035,-0.068154978
707.945784,-0.01340166,-0.076471128
794.328235,-0.013403707,-0.085801995
891.250938,-0.013406283,-0.096271391
1000,-0.013409526,-0.108018233
1122.01845,-0.013413609,-0.12119839
1258.92541,-0.013418748,-0.135986743
1412.53754,-0.013425219,-0.152579512
1584.89319,-0.013433365,-0.171196855
1778.27941,-0.01344362,-0.192085786
1995.26231,-0.01345653,-0.21552345
2238.72114,-0.013472782,-0.2418208
2511.88643,-0.013493241,-0.27132671
2818.38293,-0.013518997,-0.304432601
3162.27766,-0.013551421,-0.34157762
3548.13389,-0.013592237,-0.38325445
