 frequency       db(v(Vout))     180*cph(v(Vout))/pi
 1.00000000e+00 -1.33937589e-02 -1.08018445e-04 
 1.12201845e+00 -1.33937589e-02 -1.21198689e-04 
 1.25892541e+00 -1.33937589e-02 -1.35987165e-04 
 1.41253754e+00 -1.33937589e-02 -1.52580109e-04 
 1.58489319e+00 -1.33937590e-02 -1.71197698e-04 
 1.77827941e+00 -1.33937590e-02 -1.92086977e-04 
 1.99526231e+00 -1.33937590e-02 -2.15525133e-04 
 2.23872114e+00 -1.33937590e-02 -2.41823176e-04 
 2.51188643e+00 -1.33937590e-02 -2.71330067e-04 
 2.81838293e+00 -1.33937590e-02 -3.04437342e-04 
 3.16227766e+00 -1.33937591e-02 -3.41584316e-04 
 3.54813389e+00 -1.33937591e-02 -3.83263906e-04 
 3.98107171e+00 -1.33937592e-02 -4.30029175e-04 
 4.46683592e+00 -1.33937592e-02 -4.82500671e-04 
 5.01187234e+00 -1.33937593e-02 -5.41374657e-04 
 5.62341325e+00 -1.33937594e-02 -6.07432356e-04 
 6.30957344e+00 -1.33937595e-02 -6.81550313e-04 
 7.07945784e+00 -1.33937597e-02 -7.64712028e-04 
 7.94328235e+00 -1.33937599e-02 -8.58021008e-04 
 8.91250938e+00 -1.33937602e-02 -9.62715405e-04 
 1.00000000e+01 -1.33937605e-02 -1.08018445e-03 
 1.12201845e+01 -1.33937609e-02 -1.21198689e-03 
 1.25892541e+01 -1.33937614e-02 -1.35987165e-03 
 1.41253754e+01 -1.33937621e-02 -1.52580109e-03 
 1.58489319e+01 -1.33937629e-02 -1.71197698e-03 
 1.77827941e+01 -1.33937639e-02 -1.92086977e-03 
 1.99526231e+01 -1.33937652e-02 -2.15525133e-03 
 2.23872114e+01 -1.33937668e-02 -2.41823176e-03 
 2.51188643e+01 -1.33937689e-02 -2.71330066e-03 
 2.81838293e+01 -1.33937714e-02 -3.04437341e-03 
 3.16227766e+01 -1.33937747e-02 -3.41584315e-03 
 3.54813389e+01 -1.33937788e-02 -3.83263905e-03 
 3.98107171e+01 -1.33937839e-02 -4.30029174e-03 
 4.46683592e+01 -1.33937904e-02 -4.82500669e-03 
 5.01187234e+01 -1.33937985e-02 -5.41374654e-03 
 5.62341325e+01 -1.33938088e-02 -6.07432352e-03 
 6.30957344e+01 -1.33938217e-02 -6.81550307e-03 
 7.07945784e+01 -1.33938379e-02 -7.64712021e-03 
 7.94328235e+01 -1.33938584e-02 -8.58020998e-03 
 8.91250938e+01 -1.33938842e-02 -9.62715390e-03 
 1.00000000e+02 -1.33939166e-02 -1.08018443e-02 
 1.12201845e+02 -1.33939574e-02 -1.21198686e-02 
 1.25892541e+02 -1.33940088e-02 -1.35987161e-02 
 1.41253754e+02 -1.33940735e-02 -1.52580103e-02 
 1.58489319e+02 -1.33941550e-02 -1.71197690e-02 
 1.77827941e+02 -1.33942560e-02 -1.92086965e-02 
 1.99526231e+02 -1.33943851e-02 -2.15525116e-02 
 2.23872114e+02 -1.33945477e-02 -2.41823153e-02 
 2.51188643e+02 -1.33947523e-02 -2.71330033e-02 
 2.81838293e+02 -1.33950099e-02 -3.04437294e-02 
 3.16227766e+02 -1.33953342e-02 -3.41584249e-02 
 3.54813389e+02 -1.33957425e-02 -3.83263811e-02 
 3.98107171e+02 -1.33962565e-02 -4.30029042e-02 
 4.46683592e+02 -1.33969036e-02 -4.82500482e-02 
 5.01187234e+02 -1.33977182e-02 -5.41374390e-02 
 5.62341325e+02 -1.33987438e-02 -6.07431979e-02 
 6.30957344e+02 -1.34000349e-02 -6.81549781e-02 
 7.07945784e+02 -1.34016603e-02 -7.64711277e-02 
 7.94328235e+02 -1.34037066e-02 -8.58019946e-02 
 8.91250938e+02 -1.34062827e-02 -9.62713905e-02 
 1.00000000e+03 -1.34095257e-02 -1.08018233e-01 
 1.12201845e+03 -1.34136085e-02 -1.21198390e-01 
 1.25892541e+03 -1.34187483e-02 -1.35986743e-01 
 1.41253754e+03 -1.34252190e-02 -1.52579512e-01 
 1.58489319e+03 -1.34333649e-02 -1.71196855e-01 
 1.77827941e+03 -1.34436199e-02 -1.92085786e-01 
 1.99526231e+03 -1.34565300e-02 -2.15523450e-01 
 2.23872114e+03 -1.34727823e-02 -2.41820800e-01 
 2.51188643e+03 -1.34932407e-02 -2.71326710e-01 
 2.81838293e+03 -1.35189973e-02 -3.04432601e-01 
 3.16227766e+03 -1.35514214e-02 -3.41577620e-01 
 3.54813389e+03 -1.35922369e-02 -3.83254450e-01 
 3.98107171e+03 -1.36436196e-02 -4.30015821e-01 
 4.46683592e+03 -1.37082980e-02 -4.82481813e-01 
 5.01187234e+03 -1.37897142e-02 -5.41348028e-01 
 5.62341325e+03 -1.38921964e-02 -6.07394758e-01 
 6.30957344e+03 -1.40211897e-02 -6.81497235e-01 
 7.07945784e+03 -1.41835450e-02 -7.64637106e-01 
 7.94328235e+03 -1.43878795e-02 -8.57915271e-01 
 8.91250938e+03 -1.46450280e-02 -9.62566212e-01 
 1.00000000e+04 -1.49686109e-02 -1.07997400e+00 
 1.12201845e+04 -1.53757461e-02 -1.21169013e+00 
 1.25892541e+04 -1.58879375e-02 -1.35945338e+00 
 1.41253754e+04 -1.65321780e-02 -1.52521186e+00 
 1.58489319e+04 -1.73423440e-02 -1.71114747e+00 
 1.77827941e+04 -1.83609233e-02 -1.91970294e+00 
 1.99526231e+04 -1.96410880e-02 -2.15361166e+00 
 2.23872114e+04 -2.12494505e-02 -2.41593044e+00 
 2.51188643e+04 -2.32692803e-02 -2.71007537e+00 
 2.81838293e+04 -2.58045515e-02 -3.03986101e+00 
 3.16227766e+04 -2.89849734e-02 -3.40954277e+00 
 3.54813389e+04 -3.29722073e-02 -3.82386274e+00 
 3.98107171e+04 -3.79675178e-02 -4.28809862e+00 
 4.46683592e+04 -4.42213055e-02 -4.80811541e+00 
 5.01187234e+04 -5.20450728e-02 -5.39041864e+00 
 5.62341325e+04 -6.18262138e-02 -6.04220737e+00 
 6.30957344e+04 -7.40466315e-02 -6.77142326e+00 
 7.07945784e+04 -8.93055325e-02 -7.58679030e+00 
 7.94328235e+04 -1.08347681e-01 -8.49783688e+00 
 8.91250938e+04 -1.32097037e-01 -9.51488938e+00 
 1.00000000e+05 -1.61696484e-01 -1.06490228e+01 
 1.12201845e+05 -1.98553124e-01 -1.19119510e+01 
 1.25892541e+05 -2.44388438e-01 -1.33158363e+01 
 1.41253754e+05 -3.01291109e-01 -1.48729932e+01 
 1.58489319e+05 -3.71769259e-01 -1.65954615e+01 
 1.77827941e+05 -4.58796505e-01 -1.84944210e+01 
 1.99526231e+05 -5.65843599e-01 -2.05794302e+01 
 2.23872114e+05 -6.96884282e-01 -2.28574827e+01 
 2.51188643e+05 -8.56361442e-01 -2.53319076e+01 
 2.81838293e+05 -1.04909831e+00 -2.80011823e+01 
 3.16227766e+05 -1.28014170e+00 -3.08577847e+01 
 3.54813389e+05 -1.55453091e+00 -3.38872684e+01 
 3.98107171e+05 -1.87699962e+00 -3.70677879e+01 
 4.46683592e+05 -2.25163467e+00 -4.03702951e+01 
 5.01187234e+05 -2.68153443e+00 -4.37595577e+01 
 5.62341325e+05 -3.16852171e+00 -4.71960073e+01 
 6.30957344e+05 -3.71296414e+00 -5.06382421e+01 
 7.07945784e+05 -4.31373943e+00 -5.40458433e+01 
 7.94328235e+05 -4.96835229e+00 -5.73820782e+01 
 8.91250938e+05 -5.67317989e+00 -6.06160948e+01 
 1.00000000e+06 -6.42379724e+00 -6.37243521e+01 
 1.12201845e+06 -7.21532739e+00 -6.66912091e+01 
 1.25892541e+06 -8.04276652e+00 -6.95087646e+01 
 1.41253754e+06 -8.90125142e+00 -7.21761488e+01 
 1.58489319e+06 -9.78625459e+00 -7.46984962e+01 
 1.77827941e+06 -1.06937079e+01 -7.70858102e+01 
 1.99526231e+06 -1.16200661e+01 -7.93518753e+01 
 2.23872114e+06 -1.25623243e+01 -8.15133135e+01 
 2.51188643e+06 -1.35180059e+01 -8.35888302e+01 
 2.81838293e+06 -1.44851331e+01 -8.55986639e+01 
 3.16227766e+06 -1.54621915e+01 -8.75642275e+01 
 3.54813389e+06 -1.64480952e+01 -8.95079271e+01 
 3.98107171e+06 -1.74421603e+01 -9.14531399e+01 
 4.46683592e+06 -1.84440893e+01 -9.34243403e+01 
 5.01187234e+06 -1.94539740e+01 -9.54473704e+01 
 5.62341325e+06 -2.04723210e+01 -9.75498556e+01 
 6.30957344e+06 -2.15001109e+01 -9.97617701e+01 
 7.07945784e+06 -2.25389007e+01 -1.02116146e+02 
 7.94328235e+06 -2.35909870e+01 -1.04649903e+02 
 8.91250938e+06 -2.46596432e+01 -1.07404721e+02 
 1.00000000e+07 -2.57494381e+01 -1.10427866e+02 
 1.12201845e+07 -2.68666175e+01 -1.13772886e+02 
 1.25892541e+07 -2.80195023e+01 -1.17500461e+02 
 1.41253754e+07 -2.92188852e+01 -1.21680512e+02 
 1.58489319e+07 -3.04786010e+01 -1.26397287e+02 
 1.77827941e+07 -3.18166721e+01 -1.31758354e+02 
 1.99526231e+07 -3.32573124e+01 -1.37907044e+02 
 2.23872114e+07 -3.48336947e+01 -1.45040531e+02 
 2.51188643e+07 -3.65914017e+01 -1.53442602e+02 
 2.81838293e+07 -3.85922258e+01 -1.63549792e+02 
 3.16227766e+07 -4.09148485e+01 -1.76093028e+02 
 3.54813389e+07 -4.36349866e+01 -1.92411358e+02 
 3.98107171e+07 -4.67092281e+01 -2.15020139e+02 
 4.46683592e+07 -4.95502668e+01 -2.47185027e+02 
 5.01187234e+07 -5.07858099e+01 -2.85644894e+02 
 5.62341325e+07 -5.03839187e+01 -3.17684070e+02 
 6.30957344e+07 -4.97370799e+01 -3.39412990e+02 
 7.07945784e+07 -4.94616251e+01 -3.53782212e+02 
 7.94328235e+07 -4.95786741e+01 -3.63093316e+02 
 8.91250938e+07 -4.99551160e+01 -3.68548760e+02 
 1.00000000e+08 -5.04357699e+01 -3.70923163e+02 
