Frequency (Hz),Magnitude (dB),Phase (deg)
1,-0.003624543,179.999941
1.12201845,-0.003624543,179.999934
1.25892541,-0.003624543,179.999926
1.41253754,-0.003624543,179.999917
1.58489319,-0.003624543,179.999907
1.77827941,-0.003624543,179.999895
1.99526231,-0.003624543,179.999882
2.23872114,-0.003624543,179.999868
2.51188643,-0.003624543,179.999852
2.81838293,-0.003624543,179.999834
3.16227766,-0.003624543,179.999814
3.54813389,-0.003624543,179.999791
3.98107171,-0.003624543,179.999765
4.46683592,-0.003624543,179.999737
5.01187234,-0.003624543,179.999705
5.62341325,-0.003624543,179.999668
6.30957344,-0.003624543,179.999628
7.07945784,-0.003624543,179.999583
7.94328235,-0.003624543,179.999532
8.91250938,-0.003624543,179.999475
10,-0.003624543,179.99941
11.2201845,-0.003624543,179.999339
12.5892541,-0.003624543,179.999258
14.1253754,-0.003624544,179.999167
15.8489319,-0.003624544,179.999066
17.7827941,-0.003624544,179.998952
19.9526231,-0.003624544,179.998824
22.3872114,-0.003624545,179.99868
25.1188643,-0.003624545,179.998519
28.1838293,-0.003624546,179.998338
31.6227766,-0.003624547,179.998136
35.4813389,-0.003624548,179.997908
39.8107171,-0.003624549,179.997653
44.6683592,-0.003624551,179.997367
50.1187234,-0.003624553,179.997045
56.2341325,-0.003624556,179.996685
63.0957344,-0.00362456,179.99628
70.7945784,-0.003624564,179.995826
79.4328235,-0.00362457,179.995317
89.1250938,-0.003624577,179.994746
100,-0.003624585,179.994105
112.201845,-0.003624596,179.993385
125.892541,-0.00362461,179.992578
141.253754,-0.003624628,179.991673
158.489319,-0.00362465,179.990657
177.827941,-0.003624677,179.989516
199.526231,-0.003624712,179.988237
223.872114,-0.003624756,179.986802
251.188643,-0.003624812,179.985192
281.838293,-0.003624881,179.983385
316.227766,-0.003624969,179.981357
354.813389,-0.003625079,179.979083
398.107171,-0.003625218,179.97653
446.683592,-0.003625393,179.973667
501.187234,-0.003625613,179.970453
562.341325,-0.00362589,179.966848
630.957344,-0.003626239,179.962803
707.945784,-0.003626678,179.958264
794.328235,-0.003627231,179.953172
891.250938,-0.003627927,179.947458
1000,-0.003628803,179.941047
1122.01845,-0.003629906,179.933853
1258.92541,-0.003631295,179.925782
1412.53754,-0.003633043,179.916726
1584.89319,-0.003635244,179.906565
1778.27941,-0.003638015,179.895165
1995.26231,-0.003641503,179.882373
2238.72114,-0.003645895,179.86802
2511.88643,-0.003651423,179.851916
2818.38293,-0.003658383,179.833848
3162.27766,-0.003667145,179.813574
3548.13389,-0.003678176,179.790827
3981.07171,-0.003692063,179.765304
4466.83592,-0.003709546,179.736667
5011.87234,-0.003731555,179.704536
5623.41325,-0.003759263,179.668485
6309.57344,-0.003794144,179.628035
7079.45784,-0.003838057,179.58265
7943.28235,-0.00389334,179.531727
8912.50938,-0.003962936,179.474592
10000,-0.00405055,179.410486
11220.1845,-0.004160848,179.33856
12589.2541,-0.0042997,179.25786
14125.3754,-0.004474503,179.167315
15848.9319,-0.004694551,179.065728
17782.7941,-0.00497156,178.951751
19952.6231,-0.005320273,178.823875
22387.2114,-0.00575923,178.680409
25118.8643,-0.006311787,178.519455
28183.8293,-0.007007309,178.338886
31622.7766,-0.007882767,178.13632
35481.3389,-0.008984652,177.909086
39810.7171,-0.01037145,177.654196
44668.3592,-0.012116696,177.368303
50118.7234,-0.014312836,177.047665
56234.1325,-0.017076041,176.6881
63095.7344,-0.020552219,176.284939
70794.5784,-0.024924535,175.832976
79432.8235,-0.030422726,175.326417
89125.0938,-0.037334691,174.758825
100000,-0.046020786,174.123071
112201.845,-0.056931384,173.411282
125892.541,-0.070628296,172.614805
141253.754,-0.087810726,171.72418
158489.319,-0.109346279,170.729135
177827.941,-0.136307547,169.618626
199526.231,-0.17001441,168.380914
223872.114,-0.212081644,167.003716
251188.643,-0.264470502,165.474459
281838.293,-0.329541603,163.780637
316227.766,-0.410104305,161.910331
354813.389,-0.509455372,159.852894
398107.171,-0.631396503,157.599822
446683.592,-0.780217588,155.14579
501187.234,-0.960630438,152.48982
562341.325,-1.17763882,149.636444
630957.344,-1.43633534,146.596732
707945.784,-1.74162707,143.388943
794328.235,-2.09790731,140.03858
891250.938,-2.50871046,136.577667
1000000,-2.97640109,133.043171
1122018.45,-3.50195354,129.474689
1258925.41,-4.08486639,125.911673
1412537.54,-4.72323129,122.390618
1584893.19,-5.41394299,118.942619
1778279.41,-6.15301065,115.591618
1995262.31,-6.93591562,112.353485
2238721.14,-7.7579637,109.235886
2511886.43,-8.61459264,106.238784
2818382.93,-9.50161545,103.355322
3162277.66,-10.4153964,100.572897
3548133.89,-11.3529699,97.8742083
3981071.71,-12.3121176,95.2382032
4466835.92,-13.2914233,92.6408239
5011872.34,-14.2903225,90.055549
5623413.25,-15.3091632,87.4537198
6309573.44,-16.349294,84.8046535
7079457.84,-17.4131981,82.0755328
7943282.35,-18.504695,79.2310361
8912509.38,-19.629251,76.2326311
10000000,-20.7944667,73.0374245
11220184.5,-22.0108646,69.5964803
12589254.1,-23.2932012,65.8527574
14125375.4,-24.6626526,61.7395611
15848931.9,-26.1503346,57.1818896
17782794.1,-27.8026246,52.1045985
19952623.1,-29.6889275,46.4505721
22387211.4,-31.9141564,40.208103
25118864.3,-34.6442739,33.4456411
28183829.3,-38.1732544,26.3658186
31622776.6,-43.153815,19.4556015
35481338.9,-51.9523175,14.6412538
39810717.1,-61.1355021,172.808076
44668359.2,-49.8793476,175.880634
50118723.4,-46.6353816,173.570045
56234132.5,-45.2359238,172.865566
63095734.4,-44.5436134,174.157139
70794578.4,-44.0770154,176.981498
79432823.5,-43.6116445,180.451279
89125093.8,-43.0847981,183.704598
100000000,-42.5210159,186.236379
112201845,-41.9668417,187.920985
125892541,-41.4574968,188.856387
141253754,-41.0104457,189.216419
158489319,-40.6298484,189.171347
177827941,-40.3122928,188.859686
