v-sweep,v-sweep_1,v1,v2,vbn,vbp,vcn,vcp,vmeas#branch,vout
0,0,0,0.8,0.497192514,0.918152873,0.62850874,0.74418081,0,0.002764196
0.001,0.001,0.001,0.8,0.497192514,0.918152874,0.62850874,0.744180801,0,0.002764195
0.002,0.002,0.002,0.8,0.497192514,0.918152873,0.628508743,0.744180806,0,0.002764196
0.003,0.003,0.003,0.8,0.497192514,0.918152874,0.628508743,0.744180802,0,0.002764195
0.004,0.004,0.004,0.8,0.497192514,0.918152873,0.62850874,0.7441808,0,0.002764195
0.005,0.005,0.005,0.8,0.497192514,0.918152873,0.62850874,0.744180811,0,0.002764195
0.006,0.006,0.006,0.8,0.497192514,0.918152873,0.628508743,0.744180799,0,0.002764195
0.007,0.007,0.007,0.8,0.497192514,0.918152874,0.628508737,0.744180799,0,0.002764195
0.008,0.008,0.008,0.8,0.497192514,0.918152873,0.628508738,0.744180802,0,0.002764195
0.009,0.009,0.009,0.8,0.497192514,0.918152874,0.62850874,0.744180796,0,0.002764195
0.01,0.01,0.01,0.8,0.497192514,0.918152874,0.628508738,0.744180798,0,0.002764196
0.011,0.011,0.011,0.8,0.497192514,0.918152873,0.628508739,0.744180826,0,0.002764195
0.012,0.012,0.012,0.8,0.497192514,0.918152874,0.628508742,0.744180812,0,0.002764195
0.013,0.013,0.013,0.8,0.497192514,0.918152873,0.628508739,0.744180822,0,0.002764194
0.014,0.014,0.014,0.8,0.497192515,0.918152873,0.628508739,0.744180817,0,0.002764196
0.015,0.015,0.015,0.8,0.497192514,0.918152873,0.628508741,0.744180807,0,0.002764196
0.016,0.016,0.016,0.8,0.497192514,0.918152873,0.628508745,0.744180812,0,0.002764195
0.017,0.017,0.017,0.8,0.497192514,0.918152873,0.628508739,0.744180806,0,0.002764194
0.018,0.018,0.018,0.8,0.497192514,0.918152874,0.628508742,0.744180808,0,0.002764195
0.019,0.019,0.019,0.8,0.497192514,0.918152873,0.628508738,0.744180813,0,0.002764195
0.02,0.02,0.02,0.8,0.497192514,0.918152874,0.628508734,0.744180801,0,0.002764195
0.021,0.021,0.021,0.8,0.497192514,0.918152873,0.62850874,0.744180795,0,0.002764195
0.022,0.022,0.022,0.8,0.497192514,0.918152873,0.628508743,0.744180809,0,0.002764196
0.023,0.023,0.023,0.8,0.497192514,0.918152873,0.628508739,0.744180804,0,0.002764196
0.024,0.024,0.024,0.8,0.497192514,0.918152874,0.628508741,0.74418081,0,0.002764194
0.025,0.025,0.025,0.8,0.497192514,0.918152873,0.628508742,0.744180808,0,0.002764196
0.026,0.026,0.026,0.8,0.497192514,0.918152874,0.628508739,0.744180803,0,0.002764195
0.027,0.027,0.027,0.8,0.497192514,0.918152873,0.628508741,0.744180795,0,0.002764196
0.028,0.028,0.028,0.8,0.497192514,0.918152874,0.628508738,0.744180811,0,0.002764195
0.029,0.029,0.029,0.8,0.497192514,0.918152873,0.628508741,0.744180801,0,0.002764195
0.03,0.03,0.03,0.8,0.497192514,0.918152874,0.628508745,0.744180809,0,0.002764196
0.031,0.031,0.031,0.8,0.497192514,0.918152874,0.628508738,0.744180804,0,0.002764197
0.032,0.032,0.032,0.8,0.497192514,0.918152873,0.628508739,0.744180812,0,0.002764194
0.033,0.033,0.033,0.8,0.497192514,0.918152874,0.628508743,0.744180815,0,0.002764195
0.034,0.034,0.034,0.8,0.497192514,0.918152873,0.628508739,0.744180793,0,0.002764195
0.035,0.035,0.035,0.8,0.497192514,0.918152875,0.628508739,0.744180805,0,0.002764194
0.036,0.036,0.036,0.8,0.497192514,0.918152874,0.628508738,0.744180806,0,0.002764195
0.037,0.037,0.037,0.8,0.497192514,0.918152873,0.628508742,0.744180803,0,0.002764196
0.038,0.038,0.038,0.8,0.497192514,0.918152873,0.628508745,0.744180795,0,0.002764195
0.039,0.039,0.039,0.8,0.497192514,0.918152874,0.628508738,0.744180812,0,0.002764195
0.04,0.04,0.04,0.8,0.497192514,0.918152873,0.628508745,0.74418081,0,0.002764195
0.041,0.041,0.041,0.8,0.497192514,0.918152872,0.628508739,0.744180811,0,0.002764195
0.042,0.042,0.042,0.8,0.497192514,0.918152874,0.62850874,0.744180805,0,0.002764195
0.043,0.043,0.043,0.8,0.497192514,0.918152873,0.628508739,0.744180799,0,0.002764195
0.044,0.044,0.044,0.8,0.497192514,0.918152874,0.628508736,0.744180794,0,0.002764196
0.045,0.045,0.045,0.8,0.497192514,0.918152873,0.628508739,0.744180805,0,0.002764196
0.046,0.046,0.046,0.8,0.497192514,0.918152874,0.628508739,0.744180798,0,0.002764195
0.047,0.047,0.047,0.8,0.497192514,0.918152873,0.628508741,0.744180799,0,0.002764195
0.048,0.048,0.048,0.8,0.497192514,0.918152873,0.628508739,0.744180826,0,0.002764196
0.049,0.049,0.049,0.8,0.497192514,0.918152873,0.628508741,0.744180801,0,0.002764196
0.05,0.05,0.05,0.8,0.497192514,0.918152874,0.628508741,0.744180824,0,0.002764195
0.051,0.051,0.051,0.8,0.497192514,0.918152873,0.628508741,0.744180804,0,0.002764195
0.052,0.052,0.052,0.8,0.497192514,0.918152875,0.62850874,0.744180814,0,0.002764195
0.053,0.053,0.053,0.8,0.497192514,0.918152872,0.62850874,0.744180807,0,0.002764195
0.054,0.054,0.054,0.8,0.497192514,0.918152873,0.62850874,0.744180816,0,0.002764196
0.055,0.055,0.055,0.8,0.497192514,0.918152873,0.62850874,0.744180804,0,0.002764195
0.056,0.056,0.056,0.8,0.497192514,0.918152873,0.628508742,0.744180805,0,0.002764196
0.057,0.057,0.057,0.8,0.497192514,0.918152874,0.628508736,0.744180808,0,0.002764195
0.058,0.058,0.058,0.8,0.497192514,0.918152873,0.628508742,0.744180803,0,0.002764194
0.059,0.059,0.059,0.8,0.497192514,0.918152874,0.628508741,0.744180805,0,0.002764197
0.06,0.06,0.06,0.8,0.497192514,0.918152873,0.628508742,0.744180799,0,0.002764196
0.061,0.061,0.061,0.8,0.497192514,0.918152874,0.628508741,0.744180804,0,0.002764195
0.062,0.062,0.062,0.8,0.497192514,0.918152873,0.628508744,0.744180815,0,0.002764196
0.063,0.063,0.063,0.8,0.497192514,0.918152873,0.628508742,0.744180821,0,0.002764195
0.064,0.064,0.064,0.8,0.497192514,0.918152873,0.628508738,0.744180823,0,0.002764196
0.065,0.065,0.065,0.8,0.497192514,0.918152873,0.628508742,0.744180803,0,0.002764195
0.066,0.066,0.066,0.8,0.497192514,0.918152873,0.628508737,0.744180797,0,0.002764195
0.067,0.067,0.067,0.8,0.497192514,0.918152874,0.628508744,0.744180814,0,0.002764195
0.068,0.068,0.068,0.8,0.497192514,0.918152874,0.628508739,0.744180807,0,0.002764196
0.069,0.069,0.069,0.8,0.497192514,0.918152873,0.62850874,0.744180819,0,0.002764195
0.07,0.07,0.07,0.8,0.497192514,0.918152874,0.628508744,0.744180803,0,0.002764195
0.071,0.071,0.071,0.8,0.497192514,0.918152873,0.628508743,0.744180802,0,0.002764195
0.072,0.072,0.072,0.8,0.497192514,0.918152874,0.628508739,0.744180792,0,0.002764196
0.073,0.073,0.073,0.8,0.497192514,0.918152872,0.628508738,0.744180803,0,0.002764197
0.074,0.074,0.074,0.8,0.497192514,0.918152873,0.628508741,0.744180802,0,0.002764196
0.075,0.075,0.075,0.8,0.497192514,0.918152873,0.628508739,0.744180797,0,0.002764195
0.076,0.076,0.076,0.8,0.497192514,0.918152873,0.62850874,0.744180796,0,0.002764195
0.077,0.077,0.077,0.8,0.497192514,0.918152874,0.628508739,0.744180826,0,0.002764194
0.078,0.078,0.078,0.8,0.497192514,0.918152873,0.62850874,0.744180802,0,0.002764195
0.079,0.079,0.079,0.8,0.497192514,0.918152874,0.628508739,0.744180815,0,0.002764195
0.08,0.08,0.08,0.8,0.497192514,0.918152873,0.628508748,0.744180815,0,0.002764196
0.081,0.081,0.081,0.8,0.497192514,0.918152874,0.628508741,0.744180795,0,0.002764195
0.082,0.082,0.082,0.8,0.497192514,0.918152873,0.628508738,0.744180826,0,0.002764196
0.083,0.083,0.083,0.8,0.497192514,0.918152873,0.628508739,0.744180802,0,0.002764195
0.084,0.084,0.084,0.8,0.497192514,0.918152875,0.628508737,0.744180802,0,0.002764195
0.085,0.085,0.085,0.8,0.497192514,0.918152873,0.62850874,0.744180818,0,0.002764195
0.086,0.086,0.086,0.8,0.497192514,0.918152874,0.628508742,0.744180816,0,0.002764194
0.087,0.087,0.087,0.8,0.497192514,0.918152873,0.628508737,0.744180808,0,0.002764196
0.088,0.088,0.088,0.8,0.497192514,0.918152874,0.628508739,0.744180819,0,0.002764197
0.089,0.089,0.089,0.8,0.497192514,0.918152873,0.628508739,0.744180825,0,0.002764195
0.09,0.09,0.09,0.8,0.497192514,0.918152873,0.628508739,0.744180813,0,0.002764195
0.091,0.091,0.091,0.8,0.497192514,0.918152873,0.628508743,0.744180805,0,0.002764196
0.092,0.092,0.092,0.8,0.497192514,0.918152875,0.628508735,0.744180799,0,0.002764196
0.093,0.093,0.093,0.8,0.497192514,0.918152873,0.628508736,0.744180803,0,0.002764197
0.094,0.094,0.094,0.8,0.497192514,0.918152874,0.628508737,0.744180819,0,0.002764195
0.095,0.095,0.095,0.8,0.497192514,0.918152873,0.628508741,0.744180809,0,0.002764196
0.096,0.096,0.096,0.8,0.497192514,0.918152875,0.628508738,0.744180811,0,0.002764195
0.097,0.097,0.097,0.8,0.497192514,0.918152873,0.628508739,0.744180819,0,0.002764195
0.098,0.098,0.098,0.8,0.497192514,0.918152873,0.628508742,0.744180812,0,0.002764196
0.099,0.099,0.099,0.8,0.497192514,0.918152874,0.628508738,0.74418081,0,0.002764195
0.1,0.1,0.1,0.8,0.497192514,0.918152874,0.628508741,0.744180803,0,0.002764196
0.101,0.101,0.101,0.8,0.497192514,0.918152874,0.62850874,0.744180812,0,0.002764196
0.102,0.102,0.102,0.8,0.497192514,0.918152873,0.628508736,0.744180789,0,0.002764195
0.103,0.103,0.103,0.8,0.497192514,0.918152874,0.62850874,0.744180802,0,0.002764196
0.104,0.104,0.104,0.8,0.497192514,0.918152874,0.628508738,0.744180809,0,0.002764197
0.105,0.105,0.105,0.8,0.497192514,0.918152874,0.628508739,0.744180818,0,0.002764197
0.106,0.106,0.106,0.8,0.497192514,0.918152873,0.628508738,0.744180816,0,0.002764197
0.107,0.107,0.107,0.8,0.497192514,0.918152874,0.628508739,0.744180809,0,0.002764195
0.108,0.108,0.108,0.8,0.497192514,0.918152874,0.628508745,0.744180808,0,0.002764196
0.109,0.109,0.109,0.8,0.497192514,0.918152873,0.62850874,0.744180797,0,0.002764196
0.11,0.11,0.11,0.8,0.497192514,0.918152873,0.628508739,0.74418081,0,0.002764195
0.111,0.111,0.111,0.8,0.497192514,0.918152873,0.628508743,0.744180813,0,0.002764195
0.112,0.112,0.112,0.8,0.497192514,0.918152874,0.628508738,0.744180812,0,0.002764196
0.113,0.113,0.113,0.8,0.497192514,0.918152873,0.62850874,0.744180809,0,0.002764196
0.114,0.114,0.114,0.8,0.497192514,0.918152873,0.628508745,0.744180803,0,0.002764197
0.115,0.115,0.115,0.8,0.497192514,0.918152873,0.628508733,0.744180797,0,0.002764196
0.116,0.116,0.116,0.8,0.497192514,0.918152873,0.628508739,0.744180803,0,0.002764195
0.117,0.117,0.117,0.8,0.497192514,0.918152873,0.628508746,0.744180819,0,0.002764196
0.118,0.118,0.118,0.8,0.497192514,0.918152873,0.628508738,0.744180827,0,0.002764197
0.119,0.119,0.119,0.8,0.497192514,0.918152874,0.628508735,0.74418083,0,0.002764196
0.12,0.12,0.12,0.8,0.497192514,0.918152872,0.628508743,0.744180802,0,0.002764195
0.121,0.121,0.121,0.8,0.497192514,0.918152873,0.628508741,0.744180813,0,0.002764196
0.122,0.122,0.122,0.8,0.497192514,0.918152874,0.628508743,0.74418081,0,0.002764197
0.123,0.123,0.123,0.8,0.497192514,0.918152873,0.628508742,0.744180794,0,0.002764196
0.124,0.124,0.124,0.8,0.497192514,0.918152873,0.62850874,0.744180811,0,0.002764195
0.125,0.125,0.125,0.8,0.497192514,0.918152873,0.628508741,0.744180813,0,0.002764195
0.126,0.126,0.126,0.8,0.497192514,0.918152874,0.628508735,0.744180805,0,0.002764196
0.127,0.127,0.127,0.8,0.497192514,0.918152873,0.628508738,0.744180796,0,0.002764195
0.128,0.128,0.128,0.8,0.497192514,0.918152874,0.628508737,0.744180811,0,0.002764195
0.129,0.129,0.129,0.8,0.497192514,0.918152873,0.628508739,0.744180815,0,0.002764197
0.13,0.13,0.13,0.8,0.497192514,0.918152874,0.628508739,0.744180811,0,0.002764196
0.131,0.131,0.131,0.8,0.497192514,0.918152874,0.628508741,0.744180823,0,0.002764196
0.132,0.132,0.132,0.8,0.497192514,0.918152874,0.628508739,0.74418081,0,0.002764196
0.133,0.133,0.133,0.8,0.497192514,0.918152874,0.628508741,0.74418082,0,0.002764195
0.134,0.134,0.134,0.8,0.497192514,0.918152873,0.628508738,0.744180817,0,0.002764196
0.135,0.135,0.135,0.8,0.497192514,0.918152873,0.628508737,0.744180807,0,0.002764195
0.136,0.136,0.136,0.8,0.497192515,0.918152873,0.62850874,0.744180817,0,0.002764196
0.137,0.137,0.137,0.8,0.497192514,0.918152874,0.628508739,0.744180797,0,0.002764195
0.138,0.138,0.138,0.8,0.497192514,0.918152873,0.628508742,0.744180814,0,0.002764197
0.139,0.139,0.139,0.8,0.497192514,0.918152873,0.62850874,0.744180808,0,0.002764196
0.14,0.14,0.14,0.8,0.497192514,0.918152873,0.628508742,0.744180809,0,0.002764195
0.141,0.141,0.141,0.8,0.497192514,0.918152874,0.628508737,0.744180825,0,0.002764196
0.142,0.142,0.142,0.8,0.497192514,0.918152874,0.628508742,0.744180813,0,0.002764195
0.143,0.143,0.143,0.8,0.497192514,0.918152873,0.628508737,0.744180807,0,0.002764197
0.144,0.144,0.144,0.8,0.497192514,0.918152874,0.62850874,0.744180797,0,0.002764197
0.145,0.145,0.145,0.8,0.497192515,0.918152873,0.62850874,0.744180802,0,0.002764197
0.146,0.146,0.146,0.8,0.497192514,0.918152873,0.628508737,0.744180799,0,0.002764196
0.147,0.147,0.147,0.8,0.497192514,0.918152873,0.628508743,0.744180797,0,0.002764196
0.148,0.148,0.148,0.8,0.497192514,0.918152873,0.628508736,0.744180809,0,0.002764195
0.149,0.149,0.149,0.8,0.497192514,0.918152873,0.628508743,0.744180816,0,0.002764196
0.15,0.15,0.15,0.8,0.497192514,0.918152874,0.628508741,0.744180818,0,0.002764196
0.151,0.151,0.151,0.8,0.497192514,0.918152874,0.628508743,0.74418079,0,0.002764197
0.152,0.152,0.152,0.8,0.497192514,0.918152874,0.628508742,0.744180814,0,0.002764196
0.153,0.153,0.153,0.8,0.497192514,0.918152872,0.628508744,0.744180811,0,0.002764197
0.154,0.154,0.154,0.8,0.497192514,0.918152873,0.628508739,0.744180805,0,0.002764198
0.155,0.155,0.155,0.8,0.497192514,0.918152873,0.628508741,0.744180807,0,0.002764197
0.156,0.156,0.156,0.8,0.497192514,0.918152874,0.628508743,0.74418081,0,0.002764196
0.157,0.157,0.157,0.8,0.497192514,0.918152874,0.628508739,0.744180811,0,0.002764196
0.158,0.158,0.158,0.8,0.497192514,0.918152874,0.628508741,0.744180807,0,0.002764197
0.159,0.159,0.159,0.8,0.497192514,0.918152874,0.628508745,0.744180812,0,0.002764198
0.16,0.16,0.16,0.8,0.497192514,0.918152874,0.628508733,0.744180794,0,0.002764197
0.161,0.161,0.161,0.8,0.497192515,0.918152874,0.628508742,0.744180806,0,0.002764196
0.162,0.162,0.162,0.8,0.497192514,0.918152873,0.628508742,0.744180816,0,0.002764196
0.163,0.163,0.163,0.8,0.497192514,0.918152873,0.628508741,0.744180802,0,0.002764198
0.164,0.164,0.164,0.8,0.497192514,0.918152873,0.628508739,0.744180804,0,0.002764198
0.165,0.165,0.165,0.8,0.497192514,0.918152874,0.628508742,0.744180814,0,0.002764197
0.166,0.166,0.166,0.8,0.497192514,0.918152874,0.628508738,0.744180809,0,0.002764197
0.167,0.167,0.167,0.8,0.497192514,0.918152872,0.628508742,0.744180808,0,0.002764198
0.168,0.168,0.168,0.8,0.497192514,0.918152873,0.628508744,0.7441808,0,0.002764197
0.169,0.169,0.169,0.8,0.497192514,0.918152873,0.628508739,0.744180811,0,0.002764197
0.17,0.17,0.17,0.8,0.497192514,0.918152873,0.628508741,0.744180806,0,0.002764198
0.171,0.171,0.171,0.8,0.497192514,0.918152875,0.628508742,0.744180813,0,0.002764196
0.172,0.172,0.172,0.8,0.497192514,0.918152874,0.628508739,0.744180804,0,0.002764197
0.173,0.173,0.173,0.8,0.497192514,0.918152873,0.628508742,0.744180805,0,0.002764198
0.174,0.174,0.174,0.8,0.497192515,0.918152873,0.628508739,0.744180815,0,0.002764197
0.175,0.175,0.175,0.8,0.497192514,0.918152873,0.628508743,0.744180824,0,0.002764197
0.176,0.176,0.176,0.8,0.497192514,0.918152874,0.628508739,0.74418083,0,0.002764197
0.177,0.177,0.177,0.8,0.497192514,0.918152873,0.628508739,0.744180804,0,0.002764198
0.178,0.178,0.178,0.8,0.497192514,0.918152873,0.62850874,0.744180803,0,0.002764197
0.179,0.179,0.179,0.8,0.497192514,0.918152874,0.628508742,0.744180797,0,0.002764198
0.18,0.18,0.18,0.8,0.497192514,0.918152873,0.628508743,0.744180807,0,0.002764198
0.181,0.181,0.181,0.8,0.497192514,0.918152874,0.628508738,0.744180811,0,0.002764197
0.182,0.182,0.182,0.8,0.497192514,0.918152873,0.628508739,0.74418081,0,0.002764198
0.183,0.183,0.183,0.8,0.497192514,0.918152874,0.628508741,0.744180824,0,0.002764198
0.184,0.184,0.184,0.8,0.497192514,0.918152873,0.628508739,0.744180808,0,0.002764197
0.185,0.185,0.185,0.8,0.497192514,0.918152874,0.628508737,0.744180795,0,0.002764197
0.186,0.186,0.186,0.8,0.497192514,0.918152873,0.62850874,0.744180798,0,0.002764197
0.187,0.187,0.187,0.8,0.497192514,0.918152874,0.628508742,0.74418079,0,0.002764198
0.188,0.188,0.188,0.8,0.497192514,0.918152874,0.628508739,0.74418082,0,0.002764197
0.189,0.189,0.189,0.8,0.497192514,0.918152872,0.628508739,0.744180809,0,0.002764199
0.19,0.19,0.19,0.8,0.497192514,0.918152873,0.628508739,0.744180804,0,0.002764198
0.191,0.191,0.191,0.8,0.497192514,0.918152873,0.628508741,0.744180808,0,0.002764198
0.192,0.192,0.192,0.8,0.497192514,0.918152873,0.628508743,0.744180812,0,0.002764199
0.193,0.193,0.193,0.8,0.497192514,0.918152873,0.628508739,0.744180815,0,0.002764199
0.194,0.194,0.194,0.8,0.497192514,0.918152873,0.628508739,0.744180818,0,0.002764198
0.195,0.195,0.195,0.8,0.497192514,0.918152873,0.628508741,0.74418081,0,0.002764198
0.196,0.196,0.196,0.8,0.497192514,0.918152874,0.628508736,0.744180801,0,0.002764198
