 v-sweep         v-sweep         v1              v2              vbn             vbp             vcn             vcp             vmeas#branch    vout           
 0.00000000e+00  0.00000000e+00  0.00000000e+00  8.00000000e-01  4.97192514e-01  9.18152873e-01  6.28508740e-01  7.44180810e-01  0.00000000e+00  2.76419637e-03 
 1.00000000e-03  1.00000000e-03  1.00000000e-03  8.00000000e-01  4.97192514e-01  9.18152874e-01  6.28508740e-01  7.44180801e-01  0.00000000e+00  2.76419493e-03 
 2.00000000e-03  2.00000000e-03  2.00000000e-03  8.00000000e-01  4.97192514e-01  9.18152873e-01  6.28508743e-01  7.44180806e-01  0.00000000e+00  2.76419559e-03 
 3.00000000e-03  3.00000000e-03  3.00000000e-03  8.00000000e-01  4.97192514e-01  9.18152874e-01  6.28508743e-01  7.44180802e-01  0.00000000e+00  2.76419496e-03 
 4.00000000e-03  4.00000000e-03  4.00000000e-03  8.00000000e-01  4.97192514e-01  9.18152873e-01  6.28508740e-01  7.44180800e-01  0.00000000e+00  2.76419504e-03 
 5.00000000e-03  5.00000000e-03  5.00000000e-03  8.00000000e-01  4.97192514e-01  9.18152873e-01  6.28508740e-01  7.44180811e-01  0.00000000e+00  2.76419479e-03 
 6.00000000e-03  6.00000000e-03  6.00000000e-03  8.00000000e-01  4.97192514e-01  9.18152873e-01  6.28508743e-01  7.44180799e-01  0.00000000e+00  2.76419512e-03 
 7.00000000e-03  7.00000000e-03  7.00000000e-03  8.00000000e-01  4.97192514e-01  9.18152874e-01  6.28508737e-01  7.44180799e-01  0.00000000e+00  2.76419514e-03 
 8.00000000e-03  8.00000000e-03  8.00000000e-03  8.00000000e-01  4.97192514e-01  9.18152873e-01  6.28508738e-01  7.44180802e-01  0.00000000e+00  2.76419498e-03 
 9.00000000e-03  9.00000000e-03  9.00000000e-03  8.00000000e-01  4.97192514e-01  9.18152874e-01  6.28508740e-01  7.44180796e-01  0.00000000e+00  2.76419508e-03 
 1.00000000e-02  1.00000000e-02  1.00000000e-02  8.00000000e-01  4.97192514e-01  9.18152874e-01  6.28508738e-01  7.44180798e-01  0.00000000e+00  2.76419584e-03 
 1.10000000e-02  1.10000000e-02  1.10000000e-02  8.00000000e-01  4.97192514e-01  9.18152873e-01  6.28508739e-01  7.44180826e-01  0.00000000e+00  2.76419487e-03 
 1.20000000e-02  1.20000000e-02  1.20000000e-02  8.00000000e-01  4.97192514e-01  9.18152874e-01  6.28508742e-01  7.44180812e-01  0.00000000e+00  2.76419464e-03 
 1.30000000e-02  1.30000000e-02  1.30000000e-02  8.00000000e-01  4.97192514e-01  9.18152873e-01  6.28508739e-01  7.44180822e-01  0.00000000e+00  2.76419443e-03 
